,Case ID,K means cluster
245,ECLI-NL-GHSGR-2004-AO7896,Production
246,ECLI-NL-RBZWB-2017-418,50
247,ECLI-NL-RVS-2020-1432,50
248,ECLI-NL-GHSHE-2021-3197,24
249,ECLI-NL-RBNNE-2019-2815,9
250,ECLI-NL-GHAMS-2019-1760,65
251,ECLI-NL-RBAMS-2018-8483,50
252,ECLI-NL-RBROT-2017-10353,42
253,ECLI-NL-RBNNE-2017-4250,42
254,ECLI-NL-RBHAA-2009-BH3433,Transport
255,ECLI-NL-OGHNAA-2008-BH0939,19
256,ECLI-NL-RBROT-2019-5627,42
257,ECLI-NL-GHDHA-2019-1822,65
258,ECLI-NL-GHDHA-2019-1823,65
259,ECLI-NL-GHDHA-2019-1825,65
260,ECLI-NL-GHDHA-2019-1826,65
261,ECLI-NL-GHDHA-2019-1824,65
262,ECLI-NL-RBZWB-2019-2735,Production
263,ECLI-NL-RBNNE-2017-1462,58
264,ECLI-NL-OGEAA-2021-367,Transport
265,ECLI-NL-RBROT-2021-4887,52
266,ECLI-NL-RBMNE-2019-4502,49
267,ECLI-NL-RBMNE-2019-4503,49
268,ECLI-NL-RBOBR-2018-5517,42
269,ECLI-NL-RBROE-2012-BW8261,42
270,ECLI-NL-GHSHE-2012-BW7042,Selling
271,ECLI-NL-RBSGR-2009-BJ7652,9
272,ECLI-NL-RBZUT-2008-BG8223,39
273,ECLI-NL-HR-2021-731,42
274,ECLI-NL-RBNNE-2019-4566,42
275,ECLI-NL-GHAMS-2011-BQ8090,49
276,ECLI-NL-RBMNE-2020-5510,21
277,ECLI-NL-GHAMS-2019-4675,42
278,ECLI-NL-GHAMS-2019-585,Selling
279,ECLI-NL-GHSHE-2017-5106,Selling
280,ECLI-NL-OGEAA-2016-434,42
281,ECLI-NL-RBGRO-2010-BN8758,42
282,ECLI-NL-RBZUT-2004-AO5695,16
283,ECLI-NL-RBOVE-2021-2617,51
284,ECLI-NL-RBZWB-2021-2248,Production
285,ECLI-NL-GHARL-2020-9623,65
286,ECLI-NL-RBNHO-2020-2753,Selling
287,ECLI-NL-RBOBR-2020-583,42
288,ECLI-NL-RBROT-2019-6968,42
289,ECLI-NL-RBROT-2018-5901,21
290,ECLI-NL-RBUTR-2010-BN6251,Transport
291,ECLI-NL-RBUTR-2008-BC8607,Selling
292,ECLI-NL-RBLIM-2020-8160,42
293,ECLI-NL-RBMAA-2011-BP1646,Selling
294,ECLI-NL-OGHNAA-2008-BG3644,Transport
295,ECLI-NL-GHARL-2018-10739,2
296,ECLI-NL-RBGEL-2016-6445,Possession
297,ECLI-NL-RBGEL-2016-6497,Possession
298,ECLI-NL-RBGEL-2016-6496,Possession
299,ECLI-NL-RBBRE-2008-BC8920,Possession
300,ECLI-NL-RBBRE-2008-BC8934,Possession
301,ECLI-NL-RBAMS-2014-2173,11
302,ECLI-NL-RBOVE-2021-3298,27
303,ECLI-NL-GHDHA-2021-1065,63
304,ECLI-NL-RBZWB-2021-1842,47
305,ECLI-NL-RBZWB-2021-1836,47
306,ECLI-NL-RBZWB-2021-1830,47
307,ECLI-NL-RBNHO-2020-4762,42
308,ECLI-NL-RBAMS-2020-1220,4
309,ECLI-NL-RBAMS-2020-726,42
310,ECLI-NL-RBROT-2019-6554,42
311,ECLI-NL-RBAMS-2017-4741,42
312,ECLI-NL-GHAMS-2021-2183,65
313,ECLI-NL-GHAMS-2021-2187,65
314,ECLI-NL-GHAMS-2021-2185,65
315,ECLI-NL-GHAMS-2021-2186,65
316,ECLI-NL-PHR-2020-874,42
317,ECLI-NL-RBROT-2020-1583,Selling
318,ECLI-NL-GHAMS-2019-587,Selling
319,ECLI-NL-RBAMS-2017-9581,Transport
320,ECLI-NL-CRVB-2014-2020,42
321,ECLI-NL-GHAMS-2021-1448,65
322,ECLI-NL-RBZWB-2019-2797,Production
323,ECLI-NL-HR-2016-1327,51
324,ECLI-NL-PHR-2016-539,51
325,ECLI-NL-RVS-2008-BD9928,Selling
326,ECLI-NL-OGHNAA-2008-BG3705,Transport
327,ECLI-NL-RBAMS-2021-6965,3
328,ECLI-NL-RBOBR-2020-3546,Production
329,ECLI-NL-RBOBR-2017-2116,Production
330,ECLI-NL-RBOBR-2015-678,Production
331,ECLI-NL-RBAMS-2012-BX4479,40
332,ECLI-NL-GHAMS-2004-AO4870,42
333,ECLI-NL-RBDHA-2020-10752,Production
334,ECLI-NL-RBGEL-2016-6494,Possession
335,ECLI-NL-GHLEE-2010-BL6688,42
336,ECLI-NL-RBHAA-2007-BA9035,42
337,ECLI-NL-RBROT-2019-5630,Possession
338,ECLI-NL-GHAMS-2021-960,Transport
339,ECLI-NL-RBROT-2020-9796,Selling
340,ECLI-NL-RBMNE-2020-3306,21
341,ECLI-NL-RBOVE-2019-2402,50
342,ECLI-NL-RBGEL-2019-1781,51
343,ECLI-NL-RBAMS-2019-448,42
344,ECLI-NL-RBROT-2017-8988,Production
345,ECLI-NL-OGEAA-2016-733,3
346,ECLI-NL-RBOBR-2016-4868,3
347,ECLI-NL-RBZUT-2012-BW5706,Possession
348,ECLI-NL-RBZUT-2010-BO7302,42
349,ECLI-NL-RBAMS-2008-BD7420,42
350,ECLI-NL-RBLEE-2003-AH8846,27
351,ECLI-NL-RBZWB-2021-1625,Selling
352,ECLI-NL-RBNNE-2021-298,4
353,ECLI-NL-RBALM-2008-BG6327,Production
354,ECLI-NL-RBARN-2009-BI0603,42
355,ECLI-NL-GHAMS-2021-3549,Transport
356,ECLI-NL-RBGEL-2021-5876,5
357,ECLI-NL-GHAMS-2021-2170,65
358,ECLI-NL-RBZWB-2021-3402,42
359,ECLI-NL-RBOVE-2021-1520,42
360,ECLI-NL-RBDHA-2020-11854,3
361,ECLI-NL-GHDHA-2020-1366,60
362,ECLI-NL-RBNHO-2020-2746,Selling
363,ECLI-NL-RBNHO-2020-2747,42
364,ECLI-NL-RBNHO-2020-2748,9
365,ECLI-NL-RBDHA-2019-9680,42
366,ECLI-NL-RBOBR-2019-2509,Possession
367,ECLI-NL-RBOBR-2018-3071,Production
368,ECLI-NL-GHSHE-2018-2676,Selling
369,ECLI-NL-GHAMS-2018-1968,42
370,ECLI-NL-RBGEL-2016-6468,Possession
371,ECLI-NL-RBGEL-2016-6495,Production
372,ECLI-NL-RBGRO-2009-BI0982,53
373,ECLI-NL-RBMNE-2021-4932,Selling
374,ECLI-NL-RBROT-2020-12469,21
375,ECLI-NL-RBMNE-2020-4152,5
376,ECLI-NL-RBDHA-2020-6767,50
377,ECLI-NL-RBNNE-2017-641,42
378,ECLI-NL-RVS-2016-2376,60
379,ECLI-NL-RBNNE-2015-5816,Selling
380,ECLI-NL-RBROT-2013-CA1232,42
381,ECLI-NL-RBGRO-2011-BR4376,55
382,ECLI-NL-GHSHE-2009-BH0715,Production
383,ECLI-NL-RBMAA-2007-AZ8020,69
384,ECLI-NL-GHARL-2021-4978,42
385,ECLI-NL-RBOBR-2020-4539,3
386,ECLI-NL-RBOVE-2014-6488,Production
387,ECLI-NL-RBNNE-2021-1907,6
388,ECLI-NL-RBAMS-2021-855,40
389,ECLI-NL-RBROT-2020-12542,5
390,ECLI-NL-RBDHA-2020-9299,Possession
391,ECLI-NL-RBOBR-2019-3083,Production
392,ECLI-NL-GHSHE-2019-2019,21
393,ECLI-NL-RBLIM-2019-3270,Production
394,ECLI-NL-RBGEL-2018-546,Selling
395,ECLI-NL-RBROT-2017-8990,Production
396,ECLI-NL-RBOBR-2016-1738,42
397,ECLI-NL-RBOBR-2015-1453,Possession
398,ECLI-NL-RBLIM-2013-11777,Selling
399,ECLI-NL-RBLIM-2013-12372,Selling
400,ECLI-NL-RBLIM-2013-12370,Selling
401,ECLI-NL-RBLIM-2013-12378,Selling
402,ECLI-NL-RBGRO-2011-BR4374,55
403,ECLI-NL-GHSHE-2009-BH2779,49
404,ECLI-NL-RBALM-2008-BD2923,Transport
405,ECLI-NL-RBMAA-2006-AV6300,Production
406,ECLI-NL-GHSHE-2021-2027,42
407,ECLI-NL-RBAMS-2021-1598,49
408,ECLI-NL-RBDHA-2021-8040,42
409,ECLI-NL-RBOVE-2021-547,42
410,ECLI-NL-RBMNE-2020-3307,7
411,ECLI-NL-RBROT-2019-4234,42
412,ECLI-NL-RBGEL-2018-4643,27
413,ECLI-NL-GHARL-2018-8529,2
414,ECLI-NL-OGEAA-2018-302,21
415,ECLI-NL-RBROT-2017-8993,Production
416,ECLI-NL-RBAMS-2017-6173,Selling
417,ECLI-NL-RBOBR-2017-3064,Money laundering
418,ECLI-NL-GHSHE-2015-29,42
419,ECLI-NL-CRVB-2011-BU9160,Selling
420,ECLI-NL-GHSHE-2009-BI4026,Selling
421,ECLI-NL-CRVB-2006-AY8811,Selling
422,ECLI-NL-GHSHE-2021-2069,42
423,ECLI-NL-RBOBR-2020-4538,Possession
424,ECLI-NL-GHDHA-2020-1314,52
425,ECLI-NL-RBOBR-2018-3042,Production
426,ECLI-NL-RBLIM-2017-1458,50
427,ECLI-NL-RBAMS-2016-3604,Selling
428,ECLI-NL-OGEAC-2015-17,Transport
429,ECLI-NL-RBLIM-2015-7791,11
430,ECLI-NL-RBALM-2012-BW4441,39
431,ECLI-NL-GHSHE-2004-AR8282,Production
432,ECLI-NL-RBLEE-2003-AH8847,42
433,ECLI-NL-RBDHA-2020-10757,Production
434,ECLI-NL-RBDHA-2015-5331,21
435,ECLI-NL-GHAMS-2021-2173,65
436,ECLI-NL-GHAMS-2021-898,42
437,ECLI-NL-GHAMS-2020-3172,65
438,ECLI-NL-RBROT-2020-711,9
439,ECLI-NL-HR-2018-951,42
440,ECLI-NL-PHR-2018-641,42
441,ECLI-NL-RBOBR-2016-463,21
442,ECLI-NL-RBOBR-2014-6477,11
443,ECLI-NL-RBNHO-2013-10220,42
444,ECLI-NL-GHSHE-2013-2745,63
445,ECLI-NL-RBARN-2010-BM7959,16
446,ECLI-NL-OGHNAA-2010-BM7498,19
447,ECLI-NL-GHSHE-2009-BJ9372,42
448,ECLI-NL-GHSHE-2021-1482,24
449,ECLI-NL-RBAMS-2021-1843,54
450,ECLI-NL-PHR-2020-903,Production
451,ECLI-NL-RBROT-2019-5966,5
452,ECLI-NL-RBDHA-2019-6620,65
453,ECLI-NL-RBLIM-2018-3520,Possession
454,ECLI-NL-RBDHA-2017-4888,42
455,ECLI-NL-RBOVE-2015-268,6
456,ECLI-NL-RBMNE-2014-4791,Transport
457,ECLI-NL-RBGRO-2007-BA4380,30
458,ECLI-NL-RBNNE-2021-3945,Possession
459,ECLI-NL-RBOBR-2021-5217,21
460,ECLI-NL-RBDHA-2021-6361,Possession
461,ECLI-NL-RBROT-2021-1491,50
462,ECLI-NL-RBAMS-2020-3847,Transport
463,ECLI-NL-RBROT-2020-5447,5
464,ECLI-NL-RBAMS-2020-1854,42
465,ECLI-NL-RBAMS-2020-1855,42
466,ECLI-NL-GHAMS-2020-1102,42
467,ECLI-NL-GHAMS-2019-4892,65
468,ECLI-NL-RBDHA-2019-9760,11
469,ECLI-NL-RBMNE-2019-1476,Selling
470,ECLI-NL-RBOBR-2016-536,42
471,ECLI-NL-GHAMS-2015-4577,42
472,ECLI-NL-RBSGR-2012-BX6161,11
473,ECLI-NL-OGHACMB-2010-BP2889,19
474,ECLI-NL-RBZUT-2008-BD0696,49
475,ECLI-NL-GHAMS-2006-AY9333,Money laundering
476,ECLI-NL-RBGEL-2016-6469,Possession
477,ECLI-NL-RBOVE-2015-5331,Production
478,ECLI-NL-RBROT-2021-9633,50
