TNOKAMS	Kamer van Toezicht over de notarissen en kandidaat-notarissen Amsterdam (opgeheven)
TNOKARN	Kamer van Toezicht over de notarissen en kandidaat-notarissen Arnhem (opgeheven)
TNOKASS	Kamer van Toezicht over de notarissen en kandidaat-notarissen Assen (opgeheven)
TNOKBRE	Kamer van Toezicht over de notarissen en kandidaat-notarissen Breda (opgeheven)
TNOKDOR	Kamer van Toezicht over de notarissen en kandidaat-notarissen Dordrecht (opgeheven)
TNOKGRO	Kamer van Toezicht over de notarissen en kandidaat-notarissen Groningen (opgeheven)
TNOKHAA	Kamer van Toezicht over de notarissen en kandidaat-notarissen Haarlem (opgeheven)
TNOKLEE	Kamer van Toezicht over de notarissen en kandidaat-notarissen Leeuwarden (opgeheven)
TNOKMAA	Kamer van Toezicht over de notarissen en kandidaat-notarissen Maastricht (opgeheven)
TNOKMID	Kamer van Toezicht over de notarissen en kandidaat-notarissen Middelburg (opgeheven)
TNOKROE	Kamer van Toezicht over de notarissen en kandidaat-notarissen Roermond (opgeheven)
TNOKROT	Kamer van Toezicht over de notarissen en kandidaat-notarissen Rotterdam (opgeheven)
TNOKSGR	Kamer van Toezicht over de notarissen en kandidaat-notarissen 's-Gravenhage (opgeheven)
TNOKSHE	Kamer van Toezicht over de notarissen en kandidaat-notarissen 's-Hertogenbosch (opgeheven)
TNOKUTR	Kamer van Toezicht over de notarissen en kandidaat-notarissen Utrecht (opgeheven)
TNOKZLY	Kamer van Toezicht over de notarissen en kandidaat-notarissen Zwolle-Lelystad (opgeheven)
TNOKZUT	Kamer van Toezicht over de notarissen en kandidaat-notarissen Zutphen (opgeheven)
TNORAMS	Kamer voor het notariaat in het ressort Amsterdam
TNORARL	Kamer voor het notariaat in het ressort Arnhem-Leeuwarden
TNORDHA	Kamer voor het notariaat in het ressort Den Haag
TNORSHE	Kamer voor het notariaat in het ressort 's-Hertogenbosch
TPETPVE	Tuchtgerecht Productschap Pluimvee en Eieren
TSCTS	Tuchtcollege voor de Scheepvaart
TVSTPV	Tuchtgerecht Productschap Vis
TVVTPVV	Tuchtgerecht Productschap Vee en Vlees
